Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
237,053-0007,374,374,48.222629000000000,-103.624133000000000
238,053-0008,32,32,48.210307000000000,-103.656472000000000
239,053-0009,20,20,48.141562000000000,-103.910432000000000
240,053-0010,7,7,48.228477000000000,-103.609078000000000
241,053-0011,2,2,48.142829000000000,-103.849794000000000
242,053-0012,15,15,48.141762000000000,-103.843845000000000
243,053-0013,6,6,48.137421000000000,-103.715261000000000
244,031-0059,UNKNOWN,UNK,48.028138000000000,-101.964197000000000
245,031-0060,UNKNOWN,UNK,48.550652000000000,-102.342349000000000
246,031-0061,50,50,48.364394000000000,-102.391531000000000
247,031-0062,24,24,48.316853000000000,-102.590594000000000
248,031-0062,30,30,48.316853000000000,-102.590594000000000
249,031-0063,75,75,48.378149000000000,-102.774521000000000
250,031-0064,10,10,48.377694000000000,-102.774514000000000
251,031-0066,8,8,48.104551000000000,-101.992954000000000
252,031-0067,7,7,48.339580000000000,-102.227601000000000
253,031-0069,4,4,48.339642000000000,-102.224449000000000
254,031-0070,20,20,48.301799000000000,-102.375073000000000
255,031-0071,24,24,48.306972000000000,-102.389795000000000
256,031-0072,32,32,47.983035000000000,-102.482901000000000
257,031-0073,4,4,48.364394000000000,-102.391531000000000
258,031-0074,19,19,48.312700000000000,-102.341439000000000
259,031-0075,UNKNOWN,UNK,48.364394000000000,-102.391531000000000
260,031-0076,46,46,47.973750000000000,-102.493534000000000
261,031-0076,61,61,47.973750000000000,-102.493534000000000
262,031-0077,60,60,47.919771000000000,-102.288127000000000
263,031-0078,27,27,47.956607000000000,-102.133494000000000
264,031-0079,114,114,47.746380000000000,-102.124197000000000
265,031-0081,358,358,48.364394000000000,-102.391531000000000
266,031-0084,3,3,48.380290000000000,-102.773511000000000
267,031-0085,96,96,48.308916000000000,-102.396683000000000
268,031-0086,60,60,48.298145000000000,-102.378885000000000
269,031-0087,40,40,48.308985000000000,-102.396840000000000
270,031-0089,20,20,48.312648000000000,-102.390488000000000
271,031-0090,14,14,48.312594000000000,-102.390542000000000
272,031-0091,21,21,47.980611000000000,-102.482583000000000
273,031-0091,8,8,47.980611000000000,-102.482583000000000
274,031-0092,26,26,48.314254000000000,-102.396020000000000
275,031-0093,30,30,48.380430610000000,-102.773275030000000
276,031-0094,14,14,48.380430610000000,-102.773275030000000
277,031-0095,15,15,47.980605000000000,-102.478204000000000
278,045-0001,UNKNOWN,UNK,46.898489000000000,-102.787871000000000
279,045-0002,97,97,46.897911000000000,-102.791250000000000
280,045-0003,18,18,46.887072000000000,-103.203697000000000
281,045-0004,20,20,46.879994000000000,-103.199296000000000
282,045-0005,UNKNOWN,UNK,46.898841000000000,-102.793359000000000
283,045-0006,16,16,46.861812000000000,-102.988702000000000
284,045-0007,40,40,46.890753000000000,-103.201630000000000
285,045-0008,58,58,46.871140000000000,-102.810600000000000
286,045-0009,70,70,46.905176000000000,-102.801262000000000
